HOUSEHOLD_ID,HOUSEHOLD_CLAIMED_FAMILY_SIZE,HOUSEHOLD_REGISTRATION_DATE,HOUSEHOLD_REGISTRATION_USER_ID,HOUSEHOLD_REFUGEE_STATUS,HOUSEHOLD_VULNERABILITY_RATING,HOUSEHOLD_INACTIVE_REASON,HOUSEHOLD_FP_VALID,HOUSEHOLD_PARTNER_ID,COUNTRY_ID,WFP_OFFICE_ID,LOCATION_ID,LOCATION_TYPE_ID,LOCATION_TYPE_DESC,ADMIN_AREA_ID
549868,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549870,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
549872,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102166,,,104691
547088,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547086,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547084,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547082,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547049,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547098,1,2015-11-12,1950,RESIDENT,,DELETED,Value not defined,,19,241,102206,,,104745
547240,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547265,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547267,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547268,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547272,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547278,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547280,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547282,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547292,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547339,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547393,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547443,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547479,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547270,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547094,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547092,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547481,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547355,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547353,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547347,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547345,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547343,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547341,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547276,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547274,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547090,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
728728,1,2015-12-13,1502,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547041,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547043,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547045,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
547047,1,2015-11-12,1950,RESIDENT,,,Value not defined,,19,241,102206,,,104745
